Category,Name,Marked Price,Min Discounted Price,Description,Image URLs
Gloves,Boxing Gloves USI UNIVERSAL Pro Contest,6954.0,6954.0,"The boxing gloves used by top-level professional Boxers. Second to none, made from Top grain hide leather. Available in Size 8 and 10 Oz.Its traditional Lace-up style and high-density foam paddings make it the best fit for boxers in a professional bout.",https://sportscenter.com.np/wp-content/uploads/2020/10/professional-Boxing-Gloves-8-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Reliance,2955.0,2860.0,Sports Center has been Proudly selling USI Brand Boxing Equipments for a long time. The Brand Credibility that USI Universal enjoys in the Nepalese market is difficult to find with other brands. The popularity in the use of USI brands and the way people perceive the brand makes it the top Boxing brand in the country.The Reliance range of boxing gloves is in no way designed for beginners but for the advanced level boxers who wish to addon to their game. It’s rightly priced and it leaves no stones unturned to meet the USI Universal Standards.,https://sportscenter.com.np/wp-content/uploads/2020/10/reliance-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL SPEED COACH SPAR,5765.0,5765.0,"USI is a Brand Pioneer in Martial Arts and Fitness Equipment. Their product is fire from every aspect. Quality-wise their products are A1. The brand comes from the sporting capital of the world, Jalandhar India. They specialize in martial arts and Physical Fitness Equipment.Coaches the world over are looking for innovative tools to train boxers in attack & defence combinations. This is an ideal tool for developing timing & speed. Perfect ideal for warm-up before a contest.They are designed particularly for developing timing, speed, attack and defence combinations and are a perfect coaching aid for warm-ups. The gloves include a hook and loop wrist closure for a comfortable and secure fit and feature moulding technology to produce atomically shaped inner padding that guarantees a more natural fit for maximum comfort and protection.",https://sportscenter.com.np/wp-content/uploads/2021/06/speed-coach-Spar-1-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Vintage,8568.0,8568.0,The Vintage series of gloves are crafted with full-grain leather using vintage colors yet compete with the latest technical innovations. The vintage series gloves provide superb durability and unmatched functionality. An unrivaled fusion of old-world charm and new-age scientific product development with regards to fit and protection.,https://sportscenter.com.np/wp-content/uploads/2020/10/vintage-boxing-gloves-usi-1-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL WEIGHTED BAG GLOVES,6372.0,6372.0,"USI is a Brand Pioneer in Martial Arts and Fitness Equipment. Their product is fire from every aspect. Quality-wise their products are A1. The brand comes from the sporting capital of the world, Jalandhar India. They specialize in martial arts and Physical Fitness Equipment.Weighted Boxing Gloves provides additional resistance and stress on your arms, shoulders and back. This additional force allows you to develop Speed, stronger muscles, Power, swiftness and quick reflexes etc.Sports Center recommends the weighted gloves for Bag works and mitts work, only for training and not for bouts.",https://sportscenter.com.np/wp-content/uploads/2021/06/weighted-Boxing-Gloves-6-1-600x600.jpg
Gloves,Boxing Gloves VIXEN,2749.0,2270.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Vixen Boxing Gloves are old School Gloves. They do not have the moulded padding but have stuffed padding like in the traditional boxing gloves. Made of Genuine leather, Hand-sewn and crafted, the gloves are very much robust inbuilt and last for a long time. It is still a favourite over other brands who still prefer traditional boxing gloves.",https://sportscenter.com.np/wp-content/uploads/2021/06/boxing-gloves-vixen-6-600x600.jpg
Gloves,Karate Gloves USI UNIVERSAL 770 KM,1906.0,1906.0,"USI has always been a very well perceived brand in the field of martial arts. Its equipment has been used widely in gyms, International level tournaments, and by pro athletes and sportsperson.Sports Center recommends the karate gloves to be used in sparring sessions in all tournament levels.",https://sportscenter.com.np/wp-content/uploads/2020/11/karate-gloves-usi-redf-1-600x600.jpg
Gloves,MMA Gloves Sparring USI UNIVERSAL Amateur 7Oz,4008.0,4008.0,"The gloves give your hands more freedom for grappling and provide some padding for striking. The padding is sufficient enough to minimize the damage to the hand and provides some protection for your opponent, but not much. These gloves are really only for those who are seriously considering competing. Having said that your club or gym may still require that you use them in training.",https://sportscenter.com.np/wp-content/uploads/2020/11/mma-glove-b-2-1-600x600.jpg
Gloves,MMA Gloves USI UNIVERSAL Training Gloves 610B,2568.0,2568.0,"The gloves give your hands more freedom for grappling and provide some padding for striking. The padding is sufficient enough to minimize the damage to the hand and provides some protection for your opponent, but not much. These gloves are really only for those who are seriously considering competing. Having said that your club or gym may still require that you use them in training.",https://sportscenter.com.np/wp-content/uploads/2020/11/MMA-gloves-usi-neon-1-600x600.jpg
Gloves,MMA Sparring Gloves FAIRTEX COMBAT,7600.0,7600.0,"Fairtex Ultimate Combat MMA GlovesFairtex Originals with a supremely natural feel for maximizing functionality, comfort, and durability during intense MMA competition and training. Fingers are split at the base for unimpeded dexterity and ventilation. Longer fingers add extra protection to knuckles. Patent-pending ergonomic “open palm” hand compartment for maximum hand sensitivity. Contoured knuckle padding supports safe punching from all angles.It is the best in offer in the fight game.",https://sportscenter.com.np/wp-content/uploads/2021/06/fairtex-mma-gloves-6-600x600.jpg
Gloves,Muay Thai Gloves USI UNIVERSAL BLACK,5950.0,5950.0,"USI is a Brand Pioneer in Martial Arts and Fitness Equipment. Their product is fire from every aspect. Quality-wise their products are A1. The brand comes from the sporting capital of the world, Jalandhar India. They specialize in martial arts and Physical Fitness Equipment.Muay Thai Gloves Black series are pure gloves designed in Thailand. They are every bit in quality of USI and are designed for the professionals in the game.Sports Center recommends a pair of Muay Thai Black Series gloves for professional level fighters for use in bouts.",https://sportscenter.com.np/wp-content/uploads/2021/06/muay-thai-gloves-leather-1-1-600x600.jpg
Gloves,Muay Thai Gloves USI UNIVERSAL Neon,2568.0,2568.0,"Muay Thai gloves are more flexible when you clench your fist and generally less rigid than boxing gloves, allowing you to grip and grab better with your gloves. The thumb (sometimes) may be in a slightly different position to allow for a better ‘grip’ when you squeeze the gloves.While the gloves are essentially made from the same fabrics and built for protection as the Boxing gloves, Muay Thai gloves are designed for you to open your hand and engage in the clinch with your opponent. Besides the ability to open your hands, the other biggest difference is the feel of the gloves.Sports Center recommends this pair of gloves for Beginners and Intermediate level Muay Thai practitioners.",https://sportscenter.com.np/wp-content/uploads/2020/11/Muay-thai-gloves-usi-1-600x600.jpg
Gloves,Sparring Gloves FBT HALF,2250.0,2250.0,FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.These Sparring gloves have half finger cuts. They follow a style like that of MMA. They are made of genuine leather with strong elastic wrist support. Sports Center recommends the Sparring gloves for sparring sessions.,https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-SParring-Half-gloves-2-1-600x600.jpg
Gloves,Sparring Gloves FBT SYNTHETIC LEATHER OLD SCHOOL,1400.0,1400.0,FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.These are synthetic Leather made old school Sparring Gloves ideally for beginners and intermediate level players for sparring sessions.,https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Sparring-gloves-2-600x600.jpg
Gloves,Taekwondo Gloves USI UNIVERSAL,1846.0,1846.0,USI’s Taekwondo gloves are the most prefered Taekwondo Gloves being used in the tournaments and games all over the country.It’s TFI (Taekwondo Federation of India) Approval states that it is nothing less than the best out there.,https://sportscenter.com.np/wp-content/uploads/2020/11/taekwondo-gloves-600x600.jpg
Hand Wraps,Boxing Hand Wrap USI UNIVERSAL Camo Wrap 628cm Short,1045.0,1045.0,The World-renowned Brand USI Universal is familiar to all Martial Arts and Fitness enthusiasts. The brand is known for quality at reasonable prices. Its Hand wraps are no exception.Sports Center sells these hand wraps as its exclusive product for sale through Sports Center only in Nepal. These Camo Short Hand wraps are shorter than your regular hand wraps and have a length of just 2 meters or 80 Inches.Ideally for wrapping hands for all sorts of martial arts discipline or for a strong workout.,https://sportscenter.com.np/wp-content/uploads/2020/10/camo-wrap-USI-1-1-600x600.jpg
Hand Wraps,Boxing Hand Wrap USI UNIVERSAL Cotton 4.55 Meters,560.0,560.0,"Boxing Gloves are worn not so that the opponents don’t get hurt but more so it’s worn to prevent your knuckles and hands from injuries.To prevent your hands, knuckles, and fingers from an injury you use hand wraps.These USI Universal Hand wraps are made of cotton with a proper weave. Available in colors Red, Black, and Blue.",https://sportscenter.com.np/wp-content/uploads/2020/10/HAND-WRAP-BLACK-1-600x600.jpg
Hand Wraps,Boxing Hand Wrap VIXEN PREMIUM MESH,444.0,444.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.The Mesh Styled Hand Wraps are new aged Hand wraps. They have maximum elasticity thus keeping your knuckles intact and safe. Sports Center recommends the hand wraps for all forms of martial arts disciplines. They stretch and give the best elasticity.",https://sportscenter.com.np/wp-content/uploads/2021/01/hand-wrap-mesh-1-1-600x600.jpg
Hand Wraps,Boxing Hand Wrap VIXEN STAR PLUS,360.0,360.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Hand Wrap Vixen Star Plus is the most economic Hand wraps that you can find in the market. It’s very reasonably priced and it gets the job done. Made of Cotton the hand wraps deliver more value than the price you pay for it. Sports Center recommends the hand wraps for training uses and workouts.",https://sportscenter.com.np/wp-content/uploads/2021/01/hand-wrap-star-plus-2-1-600x600.jpg
Kick Targets,Boxing Mitt FBT STRIKING PAD,6552.0,6552.0,"FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.FBT Striking pads are thorough professional use striking pads for boxing, kick Boxing, Muay Thai and other disciplines. It is used for punches, kicks, elbows knees etc. Sports Center recommends striking pads for use by professionals during their training.",https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-STRIKING-PAD-3-1-600x600.jpg
Kick Targets,Boxing Thai Arm Pads USI UNIVERSAL Neon,3090.0,3090.0,"Thai Arm Pads are mostly used in Kick Boxing Muay Thai, Karate, Taekwando, etc. The Thai arm pads give sturdy pads feel that cannot be matched by kick target pads or boxing mitts.They absorb the maximum hits and can assist a coach or a trainer to yield out more from his students.The USI Universal Neon series Thai arm pads are made with Hi Tech PU Material and durable padding structures. They offer great value for money for customers on a budget.",https://sportscenter.com.np/wp-content/uploads/2020/10/thai-arm-pad-600x600.jpg
Kick Targets,Kick Pad FBT,2000.0,2000.0,FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.Single File FBT Leather kick pads for training by intermediate and advanced level players.,https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Kick-Pad-1-600x600.jpg
Kick Targets,Kick Pad RED SUN (DOUBLE),1637.0,1637.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil the needs of its growing customers.Red Sun’s Kick Paddle has a Double file thus are very much popular in karate and taekwondo. They are lightweight and give a good feel to the users. It is ideally designed for expert-level users for their Hardcore training.",https://sportscenter.com.np/wp-content/uploads/2021/06/kick-pad-red-sun-double-1-1-600x600.jpg
